Date,Open,High,Low,Close,Adj Close,Volume
3/22/2005,33.89,34.59,33.66,33.66,33.66,12290.6
3/23/2005,33.66,34.09,33.62,33.93,33.93,4265.6
3/24/2005,34.05,34.13,33.74,33.74,33.74,7463.1
3/25/2005,33.93,34.01,33.58,33.86,33.86,4938.1
3/28/2005,34.01,34.67,34.01,34.63,34.63,12502.3
3/29/2005,34.79,35.13,34.13,34.13,34.13,11215.6
3/30/2005,33.97,34.4,33.82,33.82,33.82,5858.8
3/31/2005,34.24,34.63,34.01,34.01,34.01,6459.6
4/1/2005,34.17,34.2,31.84,33.35,33.35,17402.2
4/4/2005,32.61,33.66,32.58,33.39,33.39,10499.3
4/5/2005,NA,NA,NA,33.39,33.39,NA
4/6/2005,33.39,34.4,33.27,33.82,33.82,9496.8
4/7/2005,34.13,34.51,33.78,33.78,33.78,6410.5
4/8/2005,34.17,34.86,34.01,34.86,34.86,8119.7
4/11/2005,34.82,34.82,33.93,34.05,34.05,2666
4/12/2005,33.89,34.44,33.78,34.13,34.13,3569.7
4/13/2005,34.24,34.32,33.35,33.35,33.35,2084.1
4/14/2005,33.43,34.71,33.43,34.48,34.48,9534.4
4/15/2005,34.17,34.63,34.01,34.17,34.17,3473.6
4/18/2005,34.05,34.09,33,33.16,33.16,3488.9
4/19/2005,33.62,33.82,33.23,33.74,33.74,4544.8
4/20/2005,33.78,34.09,33.35,33.54,33.54,4156.5
4/21/2005,32.96,33.62,32.96,33.54,33.54,3607.2
4/22/2005,33.66,35.29,33.62,34.98,34.98,14706.6
4/25/2005,35.02,35.41,34.67,34.98,34.98,7125
4/26/2005,35.25,35.37,34.71,34.98,34.98,3423.4
4/27/2005,34.98,35.37,34.79,34.94,34.94,5202.1
4/28/2005,34.94,34.94,34.51,34.86,34.86,2997.3
4/29/2005,34.71,34.86,34.44,34.51,34.51,2132.3
5/2/2005,NA,NA,NA,34.51,34.51,NA
5/3/2005,33.35,34.51,33.35,33.93,33.93,6122.9
5/4/2005,34.01,34.01,33,33.7,33.7,5732.7
5/5/2005,33.7,34.44,33.7,34.32,34.32,3874
5/6/2005,34.32,34.71,34.13,34.48,34.48,2728.8
5/9/2005,34.51,36.8,34.32,35.48,35.48,16812.2
5/10/2005,35.52,36.65,35.52,36.26,36.26,14172
5/11/2005,36.26,36.41,35.99,36.26,36.26,5987.2
5/12/2005,36.26,38.35,36.26,37.81,37.81,20409.8
5/13/2005,37.93,40.33,37.93,39.56,39.56,17135.6
5/16/2005,40.72,41.49,39.75,40.91,40.91,11657.6
5/17/2005,40.91,41.11,39.94,40.33,40.33,7875.6
5/18/2005,40.91,41.88,40.53,41.88,41.88,11338.2
5/19/2005,42.46,44.21,42.46,43.24,43.24,12065.7
5/20/2005,43.43,43.82,40.33,40.72,40.72,9147
5/23/2005,40.72,40.72,38.97,39.75,39.75,9002.5
5/24/2005,39.94,41.11,39.56,40.53,40.53,10910.2
5/25/2005,40.72,40.72,38.78,39.36,39.36,8421
5/26/2005,39.75,41.49,39.36,41.3,41.3,8347
5/27/2005,41.88,43.24,41.88,42.85,42.85,12927.4
5/30/2005,43.24,43.43,42.08,43.05,43.05,10583.6
5/31/2005,43.43,45.95,43.05,45.95,45.95,24194
6/1/2005,46.73,47.51,45.18,45.76,45.76,21309.1
6/2/2005,46.15,46.34,43.43,44.21,44.21,10701.5
6/3/2005,44.21,45.57,43.63,44.6,44.6,10120.7
6/6/2005,44.6,45.18,44.02,44.21,44.21,3862.1
6/7/2005,44.6,45.18,43.82,44.6,44.6,7382.1
6/8/2005,44.79,46.54,44.4,45.37,45.37,10988.3
6/9/2005,45.76,47.12,45.18,46.54,46.54,17531.8
6/10/2005,46.92,48.48,46.92,47.31,47.31,16404.4
6/13/2005,47.7,50.61,47.31,50.61,50.61,14146.6
6/14/2005,51.19,51.38,47.12,49.06,49.06,24040.3
6/15/2005,48.67,49.06,47.89,49.06,49.06,9869.1
6/16/2005,49.25,49.25,48.09,48.09,48.09,8185.4
6/17/2005,48.48,48.67,46.54,46.54,46.54,9980.8
6/20/2005,46.54,47.31,45.57,45.76,45.76,7069.6
6/21/2005,45.76,47.89,45.76,47.31,47.31,17685
6/22/2005,47.51,48.09,47.12,47.89,47.89,8564.4
6/23/2005,48.28,48.86,48.09,48.48,48.48,6322.8
6/24/2005,47.89,48.48,47.51,47.89,47.89,4330.1
6/27/2005,47.89,47.89,46.34,47.89,47.89,5407.7
6/28/2005,47.7,48.09,47.31,47.7,47.7,3603.7
6/29/2005,48.28,48.86,47.12,47.12,47.12,9121
6/30/2005,47.12,47.7,46.15,46.34,46.34,5865.3
7/1/2005,46.34,48.48,46.34,48.48,48.48,11827.8
7/4/2005,48.48,49.25,48.09,48.48,48.48,13715.6
7/5/2005,48.67,49.64,48.48,48.67,48.67,19343.7
7/6/2005,48.86,50.41,48.86,49.25,49.25,17361.9
7/7/2005,49.64,50.03,49.25,49.44,49.44,8874.7
7/8/2005,49.64,51.19,49.64,49.83,49.83,16789.7
7/11/2005,50.41,51.58,50.41,50.8,50.8,13440
7/12/2005,51.38,52.35,51.38,51.77,51.77,10594.3
7/13/2005,51.97,52.55,51,51,51,9601
7/14/2005,51.58,53.71,51.58,53.52,53.52,11823.1
